# Last modified: 25-11-2016@22:02:06
# LRG_ID	HGNC_SYMBOL	LRG_STATUS	CHROMOSOME	START	STOP	STRAND
LRG_1	COL1A1	public	17	50182096	50206639	-1
LRG_2	COL1A2	public	7	94389561	94433232	1
LRG_3	COL3A1	public	2	188969373	189014746	1
LRG_4	CRTAP	public	3	33108958	33149773	1
LRG_5	P3H1	public	1	42744335	42772084	-1
LRG_6	ATP1A2	public	1	160110758	160145591	1
LRG_7	CACNA1A	public	19	13204442	13511460	-1
LRG_8	SCN1A	public	2	165987160	166078639	-1
LRG_9	SDHD	pending	11	112081847	112121630	1
LRG_10	PPIB	public	15	64153815	64168155	-1
LRG_11	CDKN2A	public	9	21965752	21999491	-1
LRG_12	FKBP10	public	17	41807710	41825217	1
LRG_13	CALCA	public	11	14964669	14977286	-1
LRG_14	L1CAM	pending	X	153859516	153914223	-1
LRG_15	UBE3A	public	15	25335249	25443981	-1
LRG_16	ADA	public	20	44617522	44656735	-1
LRG_17	AICDA	public	12	8600166	8617846	-1
LRG_18	AIRE	public	21	44280880	44300227	1
LRG_19	XIAP	public	X	123855198	123915972	1
LRG_20	BLM	public	15	90712371	90817368	1
LRG_21	BLNK	public	10	96181699	96281569	-1
LRG_22	C1QA	public	1	22631625	22641682	1
LRG_23	C1QB	public	1	22648189	22663536	1
LRG_24	C1QC	public	1	22638625	22650110	1
LRG_25	C1S	public	12	7055676	7073032	1
LRG_26	C2	public	6	31922489	31947672	1
LRG_27	C3	public	19	6675835	6725651	-1
LRG_28	C5	public	9	120950335	121055276	-1
LRG_29	C6	public	5	41140234	41266438	-1
LRG_30	C7	public	5	40904497	40984939	1
LRG_31	C8B	public	1	56927210	56971015	-1
LRG_32	C9	public	5	39282275	39369553	-1
LRG_33	CASP10	public	2	201178132	201231387	1
LRG_34	CASP8	public	2	201228458	201289709	1
LRG_35	CD19	public	16	28926939	28941342	1
LRG_36	CD247	public	1	167428639	167523609	-1
LRG_37	CD3D	public	11	118337074	118347744	-1
LRG_38	CD3E	public	11	118299580	118318175	1
LRG_39	CD3G	public	11	118339344	118355782	1
LRG_40	CD40	public	20	46113267	46131745	1
LRG_41	CD59	public	11	33701010	33741478	-1
LRG_42	CD79A	public	19	41872122	41883372	1
LRG_43	CD79B	public	17	63926738	63937344	-1
LRG_44	CD8A	public	2	86782605	86813396	-1
LRG_45	CEBPE	public	14	23115306	23124265	-1
LRG_46	CFD	public	19	854665	865624	1
LRG_47	CFH	public	1	196647011	196749504	1
LRG_48	CFI	public	4	109738696	109806985	-1
LRG_49	CIITA	public	16	10872198	10926983	1
LRG_50	CTSC	public	11	88291592	88342773	-1
LRG_51	CXCR4	public	2	136112349	136123155	-1
LRG_52	CYBA	public	16	88641289	88656049	-1
LRG_53	CYBB	public	X	37775021	37815461	1
LRG_54	DCLRE1C	public	10	14904871	14959095	-1
LRG_55	DKC1	public	X	154757756	154779689	1
LRG_56	DNMT3B	public	20	32757385	32811356	1
LRG_57	ELANE	public	19	847291	858246	1
LRG_58	FASLG	public	1	172654045	172668873	1
LRG_59	FCGR1A	public	1	149777732	149794518	1
LRG_60	FCGR3A	public	1	161539759	161555623	-1
LRG_61	FOXN1	public	17	28518941	28540157	1
LRG_62	FOXP3	public	X	49248436	49269825	-1
LRG_63	GFI1	public	1	92472761	92491876	-1
LRG_64	HAX1	public	1	154267563	154277875	1
LRG_65	ICOS	public	2	203931780	203963577	1
LRG_66	IFNGR1	public	6	137195486	137224430	-1
LRG_67	IFNGR2	public	21	33379993	33481348	1
LRG_68	IGFBP3	pending	7	45910245	45926272	-1
LRG_69	IGLL1	public	22	23571125	23585308	-1
LRG_70	IKBKG	public	X	154537244	154567044	1
LRG_71	IL12B	public	5	159312783	159335473	-1
LRG_72	IL12RB1	public	19	18057561	18103949	-1
LRG_73	IL2RA	public	10	6009543	6067309	-1
LRG_74	IL7R	public	5	35851889	35878822	1
LRG_75	IRAK4	public	12	43753944	43791543	1
LRG_76	ITGB2	public	21	44883953	44933838	-1
LRG_77	JAK3	public	19	17824152	17852991	-1
LRG_78	LIG1	public	19	48113446	48175303	-1
LRG_79	LIG4	public	13	108205442	108220534	-1
LRG_80	LRRC8A	public	9	128877112	128920039	1
LRG_81	LAMTOR2	public	1	156049726	156060510	1
LRG_82	MASP2	pending	1	11024523	11052228	-1
LRG_83	MLPH	public	2	237482287	237555994	1
LRG_84	MPO	public	17	58267856	58285935	-1
LRG_85	MRE11	public	11	94415300	94498874	-1
LRG_86	MYO5A	public	15	52305283	52534050	-1
LRG_87	NCF1	pending	7	74768964	74791316	1
LRG_88	NCF2	public	1	183553562	183595581	-1
LRG_89	NFKBIA	public	14	35399511	35409738	-1
LRG_90	NHEJ1	public	2	219073324	219165865	-1
LRG_91	PNP	public	14	20464383	20479089	1
LRG_92	NRAS	public	1	114702457	114721894	-1
LRG_93	ORAI1	public	12	121621570	121644033	1
LRG_94	PRF1	public	10	70595348	70607775	-1
LRG_95	PTPRC	pending	1	198634095	198759201	1
LRG_96	RAB27A	public	15	55201594	55294803	-1
LRG_97	RAC2	public	22	37223270	37249265	-1
LRG_98	RAG1	public	11	36563013	36581762	1
LRG_99	RAG2	public	11	36589943	36603236	-1
LRG_100	RASGRP2	public	11	64724911	64750456	-1
LRG_101	RFX5	public	1	151338640	151352293	-1
LRG_102	RFXANK	public	19	19187199	19203869	1
LRG_103	RFXAP	public	13	36814202	36831603	1
LRG_104	SBDS	public	7	66985703	67000601	-1
LRG_105	SERPING1	public	11	57592554	57616853	1
LRG_106	SH2D1A	public	X	124341300	124375155	1
LRG_107	SLC35C1	public	11	45799072	45815016	1
LRG_108	SMARCAL1	public	2	216407414	216485053	1
LRG_109	SP110	public	2	230166918	230225112	-1
LRG_110	SPINK5	public	5	148058972	148139362	1
LRG_111	STAT1	public	2	190967036	191019250	-1
LRG_112	STAT3	public	17	42311325	42393495	-1
LRG_113	STX11	public	6	144145517	144193939	1
LRG_114	TAPBP	public	6	33297694	33319212	-1
LRG_115	TCIRG1	public	11	68034016	68052899	1
LRG_116	TCN2	public	22	30602174	30629060	1
LRG_117	TLR3	public	4	186064155	186087098	1
LRG_118	TMC6	public	17	78110918	78137407	-1
LRG_119	TMC8	public	17	78125778	78144968	1
LRG_120	TNFRSF13B	public	17	16937084	16977088	-1
LRG_121	TYK2	public	19	10348524	10385572	-1
LRG_122	UNC13D	public	17	75825257	75849717	-1
LRG_123	UNC93B1	public	11	67989104	68009123	-1
LRG_124	UNG	public	12	109092610	109112993	1
LRG_125	WAS	public	X	48678797	48693427	1
LRG_126	ZAP70	public	2	97708568	97741860	1
LRG_127	CD55	public	1	207316472	207362966	1
LRG_128	BTK	public	X	101347447	101391224	-1
LRG_129	CFP	public	X	47622213	47635305	-1
LRG_130	APC	public	5	112687521	112851239	1
LRG_131	TAZ	pending	X	154406535	154423723	1
LRG_132	ACTB	public	7	5525148	5535601	-1
LRG_133	AK2	public	1	33005985	33041891	-1
LRG_134	FAS	public	10	88985531	89017785	1
LRG_135	ATM	public	11	108217832	108371099	1
